commodity us_rank ca_share area production_kton value_k ca_rank2013 ca_rank2014
Artichokes 1 99.0 7.3 47.5 55517 42 50
Asparagus 1 46.0 11.0 17.1 39215 49 54
Beans_FM 3 13.0 4.2 23.1 36082 57 58
Broccoli 1 96.0 122.0 1006.5 806561 14 14
Cabbage_FM 1 31.0 16.4 344.4 177710 41 35
Carrots_FM 1 83.0 65.5 1048.0 574304 17 16
Cauliflower 1 89.0 33.9 313.6 309040 26 23
Celery 1 95.0 27.2 870.4 288423 19 25
Corn_FM 1 21.0 31.9 271.2 184382 36 34
Cucumbers_FM 3 10.0 3.8 34.2 16553 63 64
Garlic 1 98.0 23.0 189.8 255888 29 27
Lettuce NA NA 196.5 3050.5 2032389 8 6
Melons_Cantaloupe 1 63.0 36.0 468.0 196560 31 30
Melons_Honeydew 1 76.0 10.5 141.8 59535 50 48
Melons_Watermelon 3 16.0 8.9 253.7 74066 44 44
Mushroom 2 12.0 0.5 50.8 189607 30 31
Onions 1 41.0 43.9 1143.8 275620 35 26
Peppers NA NA 28.8 621.4 497976 18 17 
Pumpkins 2 15.0 6.2 96.1 30944 59 61
Spinach_FM 1 70.0 26.0 208.0 189280 37 33
Squash 2 18.0 6.1 51.8 37027 52 57
Tomatoes_FM 2 37.0 32.3 508.8 354090 NA NA
Tomatoes_Proc 1 96.0 289.0 14010.0 1253895 NA NA
Almond 1 99.0 870.0 935.0 5891930 2 2
Apples 5 2.0 15.0 120.0 57060 46 49
Apricots 1 85.0 9.5 55.4 43045 56 52
Avocados 1 83.0 53.8 149.0 333760 23 22
Blueberries 5 10.0 4.8 27.6 119093 40 40
Raspberries 1 65.0 7.5 72.5 450900 22 19
Strawberries_FM 1 90.0 41.5 1105.0 2254200 NA NA
Strawberries_Proc 1 96.0 NA 273.9 227296 NA NA
Cherries 3 9.0 33.0 33.2 141281 24 38
Dates 1 99.0 8.2 29.0 34510 55 59
Figs 1 99.0 7.0 31.7 18141 62 63
Grapefruit 3 15.0 9.8 77.0 37824 54 55
Grapes_Raisin NA NA 190.0 1763.0 709502 NA NA
Grapes_Table NA NA 110.0 1166.0 1572745 NA NA
Grapes_Wine NA NA 565.0 3893.0 2954787 NA NA
Kiwifruit 1 99.0 3.9 28.0 32678 60 60
Lemons 1 91.0 46.0 376.0 NA 20 24
Nectarines 1 94.0 21.0 193.0 168206 42 36
Olives 1 99.0 37.0 94.0 72904 38 46
Oranges 2 32.0 166.0 990.0 942171 15 13
Peaches_Clingstone 1 99.0 20.0 332.0 122666 NA NA
Peaches_Freestone 1 55.0 24.0 288.0 233470 NA NA
Pears 3 23.0 11.1 189.0 88642 43 43
Pecans 7 2.0 13.7 2.5 10700 66 66
Pistachios 1 98.0 221.0 257.0 1593400 9 11
Plums 1 97.0 18.0 113.0 103167 47 41
Plums_Dried 1 99.0 48.0 104.0 232960 33 27
Tangerines_etc 1 79.0 46.0 294.0 NA NA NA
Walnuts 1 99.0 290.0 570.0 1841100 7 7
Barley 13 1.0 25.0 43.8 9308 64 67
Beans_Dry 7 4.0 47.5 52.0 69472 45 47
Cottonseed 5 5.0 NA 276.0 96360 39 42
Grain_Corn 32 1.0 95.0 438.9 73673 32 45
Peppermint 6 3.0 1.8 76.5 4024 67 68
Hay 2 5.0 1375.0 7388.0 1737024 10 9
Oats 19 1.0 10.0 16.0 3400 68 70 
Potatoes 8 4.0 33.3 784.7 189577 27 32
Potatoes_Sweet 2 18.0 19.0 261.2 148390 34 37
Rice 2 17.0 431.0 1849.7 713965 13 15
Sugar_Beets 7 3.0 22.6 1003.0 47341 58 51 
Wheat 25 1.0 205.0 550.5 128475 25 39 
Oil_Crops NA NA 96.5 81.1 41054 51 53
