commodity us_rank ca_share area production_kton value_k ca_rank2015 ca_rank2016
Artichokes 1 100.0 6.8 49.3 69119 47 47
Asparagus 1 35.5 8.0 10.4 26624 57 60
Beans_FM 2 20.3 7.0 41.2 55020 44 43
Broccoli 1 91.5 123.0 1067.5 779186 12 12
Cabbage_FM 1 39.5 14.4 288.0 158976 38 35
Carrots_FM 1 89.8 67.3 1095.0 702030 16 14
Cauliflower 1 82.7 32.3 290.7 322154 26 23
Celery 1 94.8 27.1 800.0 340035 22 22
Corn_FM 1 18.3 34.9 296.7 163751 37 34
Cucumbers_FM 2 20.9 9.3 79.1 36285 51 46
Garlic 1 100.0 24.6 184.5 268665 30 25
Lettuce 1 68.0 209.1 3306.2 1960266 5 5
Melons_Cantaloupe 1 43.9 25.5 382.5 91035 39 42
Melons_Honeydew 1 100.0 11.0 176.0 67584 50 49
Melons_Watermelon 2 21.2 12.5 337.5 122850 45 39
Mushroom 2 22.5 17.7 50.8 201702 27 26
Onions 1 24.6 44.3 963.6 183386 32 28
Peppers 1 55.3 26.5 563.4 496770 19 17
Pumpkins 5 7.3 5.0 67.5 15255 62 64
Spinach_FM 1 57.7 28.6 185.9 174406 34 33
Squash 1 21.9 6.4 64.0 35925 60 58
Tomatoes_FM 2 30.9 33.7 531.3 297528 NA NA
Tomatoes_Proc 1 94.4 258.0 12647.0 1031995 NA NA
Almond 1 100.0 940.0 1070.0 5158160 2 3
Apples 6 1.6 12.5 125.5 54013 56 52
Apricots 1 85.2 8.5 56.0 48929 58 54
Avocados 1 93.6 52.0 201.0 412050 28 24
Blueberries 2 14.5 6.4 30.3 108765 42 40
Raspberries 1 83.1 10.3 107.6 380447 20 19
Strawberries_All 1 78.5 37.9 1438.8 1834783 6 6
Cherries 2 21.4 33.0 55.0 184490 30 32
Dates 1 68.9 10.2 31.1 46650 49 55
Figs 1 100.0 6.1 31.6 29230 63 59
Grapefruit 2 26.6 9.5 152.0 67664 53 48
Grapes_Raisin 1 NA 170.0 1536.0 400772 NA NA
Grapes_Table 1 NA 111.0 1159.0 1536614 NA NA
Grapes_Wine 1 NA 560.0 4031.0 3644024 NA NA
Kiwifruit 1 100.0 3.7 28.3 44431 59 56
Lemons 1 78.6 47.0 840.0 NA 17 16
Nectarines 1 92.6 19.0 158.2 137418 40 38
Olives 1 100.0 35.0 159.6 138090 36 37
Oranges 2 42.9 157.0 2340.0 826294 14 10
Peaches_Clingstone 1 NA 18.2 322.0 166659 NA NA
Peaches_Freestone 1 NA 22.0 247.0 183626 NA NA
Pears 3 19.7 11.1 175.0 93585 43 41
Pecans 6 2.1 NA 2.9 14656 66 65
Pistachios 1 100.0 239.0 448.3 1506120 15 7
Plums_Prunes 1 100.0 63.7 189.5 195754 25 31
Tangerines_etc 1 93.3 57.0 864.0 NA 21 18
Walnuts 1 100.0 315.0 686.0 1241660 9 9
Barley 8 2.1 55.0 99.0 17531 67 63
Beans_Dry 5 9.5 49.0 57.1 70286 48 45
Cottonseed 3 6.7 NA 281.0 75175 46 50
Grain_Corn 32 0.1 100.0 518.0 88800 52 51
Peppermint 6 3.3 2.0 0.1 3956 71 70
Hay 1 12.5 1200.0 6576.0 966192 10 13
Oats 15 2.2 11.0 11.4 2717 72 71
Potatoes 5 6.8 33.0 665.3 265305 33 29
Potatoes_Sweet 2 21.4 20.0 310.0 151280 35 36
Rice 1 29.1 536.0 2369.7 649289 13 15
Sugar_Beets 7 3.0 25.0 1108.0 NA 54 53
Wheat 19 1.0 217.0 519.1 89226 41 44
Oil_Crops 30 8.0 107.5 98.6 44195 55 57
