commodity us_rank ca_share area production_kton value_k ca_rank2012 ca_rank2013
Artichokes 1 99 7 47.2 57645 50 50
Asparagus 1 48 11.5 18.4 55936 53 51
Beans_FM 3 12 5.7 28.5 36822 58 59
Broccoli 1 96 121 1002.8 844920 17 13
Cabbage_FM 1 26 14 283.5 123039 43 41
Carrots_FM 1 81 62.5 937.5 555000 18 17
Cauliflower 1 88 31 279 238356 32 28
Celery 1 94 27 848.4 437406 22 18
Corn_FM 1 20 36 306 157284 42 24
Cucumbers_FM 7 6 2.5 25 12950 61 65
Garlic 1 98 23 189.8 228864 29 29
Lettuce NA NA 198.5 2987.70 1679164 11 7
Melons_Cantaloupe 1 70 42.5 637.7 204000 33 31
Melons_Honeydew 1 76 10.5 136.5 55146 54 52
Melons_Watermelon 3 15 10 290 75400 46 45
Mushroom 2 14 0.6 60.7 206708 30 30
Onions 1 26 43.9 912.1 164586 35 34
Peppers 1 NA 27.8 534.6 434261 21 19
Pumpkins 2 17 5.9 97.3 30400 62 61
Spinach_FM 1 61 20.8 156 129792 37 39
Squash 1 20 6.8 61.2 43341 59 54
Tomatoes_FM 2 34 28 420 304080 NA NA
Tomatoes_Proc 1 96 260 12100 918390 NA NA
Almond 1 99 840 1005.00 5768100 3 2
Apples 5 3 15.2 135 62828 49 48
Apricots 1 89 9.5 54.4 37901 60 58
Avocados NA NA NA NA NA 21 NA
Blueberries 5 10 4.8 25.7 127520 40 40 
Raspberries 1 74 5.6 47 239020 27 27
Strawberries_FM 1 86 41.5 1119.90 2024779 NA NA
Strawberries_Proc 1 94 NA 258.7 175950 NA NA
Cherries 2 25 33 82 265966 26 24
Dates 1 66 6.1 24 38400 56 57
Figs 1 96 7.3 28.9 15522 NA 64
Grapefruit 3 14 9.9 160 39360 51 56
Grapes_Raisin NA NA 200 2246.00 848220 NA NA
Grapes_Table NA NA 95 1226 1540879 NA NA
Grapes_Wine NA NA 525 4245.00 3196485 NA NA
Kiwifruit 1 98 3.7 30.1 32595 NA 60
Lemons 1 82 45 840 374869 19 21
Nectarines 1 93 18 150 117000 39 42
Olives 1 97 40 166 136231 41 37
Oranges 2 29 175 2260.00 742076 14 15
Peaches_Clingstone 1 100 22 368 133865 NA NA
Peaches_Freestone 1 52 24 280 144418 NA NA
Pears 2 25 11.6 220 87709 44 43
Pecans 8 2 13.7 25 10300 67 66
Pistachios 1 98 203 235 1034000 10 12
Plums 1 97 20 105 68475 45 47
Plums_Dried 1 99 50 85 144500 34 36
Tangerines_etc 1 79 38 520 NA NA NA
Walnuts 1 99 280 492 1795800 8 6
Barley 13 1 40 72 17550 63 63
Beans_Dry 7 5 49.5 57.5 61410 48 49
Cottonseed 3 8 NA 355 135044 36 38 
Grain_Corn 29 NA 180 982.8 194805 28 32
Peppermint 6 3 1.8 76.5 4238 68 68 
Hay 3 6 1440.00 7956.00 1569780 7 8
Oats 13 2 20 25.6 5440 66 67
Potatoes 10 3 34.8 744.5 249229 31 25
Potatoes_Sweet 2 28 19 342 168948 38 33
Rice 2 25 561 2378.70 789728 13 14
Sugar_Beets 7 3 24.3 1079.00 71538 47 46
Wheat 21 2 407 1017.00 269820 23 23
Oil_Crops NA NA 105.1 85.50 45716 55 53
