commodity us_rank ca_share area production_kton value_k ca_rank2011 ca_rank2012
Artichokes 1 99 7.8 56.6 53723 57 56
Asparagus 1 48 11.5 18.4 48208 54 57
Beans_FM 1 18 9.2 48.3 62887 48 53
Broccoli 1 95 119.0 971.8 644747 18 17
Cabbage_FM 2 21 11.5 218.5 74727 49 51
Carrots_FM 1 81 61.0 945.5 503006 17 18
Cauliflower 1 86 32.0 288.0 194952 28 35
Celery 1 94 27.0 931.5 344024 21 24
Corn_FM 2 19 33.8 295.8 123032 43 44
Cucumbers_FM 4 7 3.7 37.0 30784 66 64
Garlic 1 98 25.0 212.5 221289 27 31
Lettuce NA NA 199.7 3179.9 1447933 8 8
Melons_Cantaloupe 1 64 36.0 540.0 185760 37 37
Melons_Honeydew 1 73 10.5 126.0 47376 55 58
Melons_Watermelon 3 16 10.0 305.0 78080 46 49
Mushroom 2 14 0.6 60.7 208118 35 32
Onions 1 27 43.7 981.6 179702 39 38
Peppers NA NA 30.4 652.4 380502 24 22
Pumpkins 2 15 5.5 93.5 27489 69 68
Spinach_FM 1 60 21.2 159.0 140556 NA NA
Spinach_Proc 1 85 6.5 88.0 12313 NA NA
Squash 3 16 6.1 61.0 35052 63 62
Tomatoes_FM 1 35 31.0 488.2 221666 NA NA
Tomatoes_Proc 1 96 258.0 12640.0 948000 NA NA
Almond 1 99 780.0 1000.0 4347200 2 3
Apples 4 3 17.5 150.0 77750 53 50
Apricots 1 88 10.8 53.8 32260 62 63
Avocados 1 88 12.5 31.1 381957 19 21
Blueberries 6 9 4.7 20.4 133743 44 43
Raspberries 1 74 5.4 48.6 239820 29 29
Strawberries_FM 1 91 38.5 1096.8 1939142 NA NA
Strawberries_Proc 1 92 NA 285.0 182432 NA NA
Cherries 2 22 31.0 92.3 257772 33 28
Dates 1 82 8.4 31.1 41674 59 59
Figs 1 96 8.6 38.7 20335 68 69
Grapefruit 3 15 9.4 160.0 55880 58 54
Grapes_Raisin NA NA 205.0 1951.0 NA NA NA
Grapes_Table NA NA 85.0 987.0 1180430 NA NA
Grapes_Wine NA NA 506.0 3740.0 NA NA NA
Kiwifruit 1 97 4.2 29.6 22940 65 67
Lemons 1 92 45.0 800.0 435752 23 19
Nectarines 1 95 25.0 180.0 139860 42 42
Olives 1 96 44.0 160.0 130038 56 45
Oranges 2 29 177.0 2320.0 764783 16 14
Peaches_Clingstone 1 100 23.0 369.0 128397 NA NA
Peaches_Freestone 1 56 24.0 344.0 202297 NA NA
Pears 3 25 14.0 215.0 93977 45 46
Pecans 7 2 NA 24.0 7584 70 71
Pistachios 1 98 178.0 275.5 1113020 13 11
Plums 1 97 25.0 115.0 79940 50 48
Plums_Dried 1 99 55.0 125.0 156250 36 40
Tangerines_etc 1 51 38.0 540.0 NA 32 23
Walnuts 1 99 245.0 470.0 1363000 9 9
Barley 9 2 80.0 105.6 25740 67 65
Beans_Dry 7 4 57.5 65.2 71198 51 52
Cottonseed 3 8 NA 469.0 188490 34 36
Grain_Corn 27 NA 180.0 932.4 234765 38 30
Peppermint 6 3 3.0 0.1 5783 71 73
Hay 2 7 1550.0 87150.0 1782705 7 7
Oats 10 4 25.0 36.0 8663 72 70
Potatoes 11 3 37.8 795.6 201217 30 33
Potatoes_Sweet 2 23 18.0 308.7 169785 41 39
Rice 2 23 556.0 2253.5 770697 12 14
Sugar_Beets 7 3 24.5 1078.0 75460 47 47
Wheat 16 2 445.0 1215.8 337049 22 25
Oil_Crops NA NA NA NA 41385 61 60
